implementation,corpus_name,cold_ns,warm_ns,parse_eval_ns,compile_ns,memory_bytes_per_eval
corvus-image-jit,openapi,278900000,2990000,13040000,35210000,0
corvus-image-aot,openapi,49200000,2930000,16070000,790000,0
corvus-generated-jit,openapi,259900000,2910000,13110000,55290000,0
corvus-generated-aot,openapi,48800000,2980000,16300000,970000,0
blaze-compile,pre-commit-hooks,8700000,218530,4840491,1500000,
blaze-template,pre-commit-hooks,8800000,218530,4840491,0,
corvus-runtime-jit,pre-commit-hooks,142500000,95500,547110,77020000,0
corvus-runtime-r2r,pre-commit-hooks,48800000,96820,604010,,0
corvus-runtime-aot,pre-commit-hooks,4700000,100730,617440,280000,0
corvus-image-jit,pre-commit-hooks,121200000,95500,547110,21770000,0
corvus-image-aot,pre-commit-hooks,4300000,100730,617440,120000,0
corvus-generated-jit,pre-commit-hooks,102100000,97270,515760,29990000,0
corvus-generated-aot,pre-commit-hooks,4700000,101100,620010,160000,0
blaze-compile,pulumi,16500000,257040,12880338,2400000,
blaze-template,pulumi,16700000,257040,12880338,0,
corvus-runtime-jit,pulumi,153500000,181360,1140000,75810000,0
corvus-runtime-r2r,pulumi,66000000,181470,1200000,,0
corvus-runtime-aot,pulumi,6600000,187500,1150000,310000,0
corvus-image-jit,pulumi,132700000,181360,1140000,27390000,0
corvus-image-aot,pulumi,6400000,187500,1150000,130000,0
corvus-generated-jit,pulumi,118400000,178570,970280,36670000,0
corvus-generated-aot,pulumi,6500000,192980,1160000,160000,0
blaze-compile,semantic-release,7300000,43050,3736471,900000,
blaze-template,semantic-release,6800000,43050,3736471,0,
corvus-runtime-jit,semantic-release,145900000,37550,415530,76340000,0
corvus-runtime-r2r,semantic-release,45000000,37770,441720,,0
corvus-runtime-aot,semantic-release,3900000,40010,455270,230000,0
corvus-image-jit,semantic-release,110600000,37550,415530,17520000,0
corvus-image-aot,semantic-release,3800000,40010,455270,60000,0
corvus-generated-jit,semantic-release,107700000,36320,382870,30290000,0
corvus-generated-aot,semantic-release,4200000,38370,435720,80000,0
blaze-compile,stale,6200000,72020,3040316,600000,
blaze-template,stale,6500000,72020,3040316,0,
corvus-runtime-jit,stale,144100000,70180,402820,75470000,0
corvus-runtime-r2r,stale,47400000,71870,409370,,0
corvus-runtime-aot,stale,4000000,76130,410320,170000,0
corvus-image-jit,stale,111300000,70180,402820,23660000,0
corvus-image-aot,stale,4000000,76130,410320,80000,0
corvus-generated-jit,stale,106700000,73090,369440,32920000,0
corvus-generated-aot,stale,4400000,74390,422400,100000,0
blaze-compile,stylecop,9200000,121080,3962403,2500000,
blaze-template,stylecop,8100000,121080,3962403,0,
corvus-runtime-jit,stylecop,145200000,103870,566240,93000000,0
corvus-runtime-r2r,stylecop,49200000,103680,564890,,0
corvus-runtime-aot,stylecop,4700000,112710,570830,290000,0
corvus-image-jit,stylecop,129300000,103870,566240,26590000,0
corvus-image-aot,stylecop,4200000,112710,570830,120000,0
corvus-generated-jit,stylecop,114800000,102410,484260,39760000,0
corvus-generated-aot,stylecop,4800000,112670,565570,160000,0
blaze-compile,tmuxinator,5500000,52530,1907499,1300000,
blaze-template,tmuxinator,5600000,52530,1907499,0,
corvus-runtime-jit,tmuxinator,134900000,23070,231740,71270000,0
corvus-runtime-r2r,tmuxinator,43900000,23310,262150,,0
corvus-runtime-aot,tmuxinator,3500000,26020,268880,220000,0
corvus-image-jit,tmuxinator,107400000,23070,231740,17280000,0
corvus-image-aot,tmuxinator,3500000,26020,268880,140000,0
corvus-generated-jit,tmuxinator,107400000,24540,235650,30640000,0
corvus-generated-aot,tmuxinator,3800000,26560,280010,100000,0
blaze-compile,ui5,35500000,236230,5037535,37300000,
blaze-template,ui5,27000000,236230,5037535,0,
corvus-runtime-jit,ui5,193500000,373350,864660,116140000,0
corvus-runtime-r2r,ui5,89500000,356270,971460,,0
corvus-runtime-aot,ui5,8700000,376110,980900,3460000,0
corvus-image-jit,ui5,166900000,373350,864660,73160000,0
corvus-image-aot,ui5,7000000,376110,980900,2120000,0
corvus-generated-jit,ui5,134400000,372810,850560,51270000,0
corvus-generated-aot,ui5,7500000,372630,952860,2010000,0
blaze-compile,ui5-manifest,145800000,1180000,13836265,199500000,
blaze-template,ui5-manifest,194600000,1180000,13836265,0,
corvus-runtime-jit,ui5-manifest,260500000,1280000,2520000,145970000,0
corvus-runtime-r2r,ui5-manifest,133500000,1240000,2670000,,0
corvus-runtime-aot,ui5-manifest,23700000,1290000,2890000,10450000,0
corvus-image-jit,ui5-manifest,183300000,1280000,2520000,82930000,0
corvus-image-aot,ui5-manifest,13700000,1290000,2890000,4800000,0
corvus-generated-jit,ui5-manifest,174200000,1240000,2570000,68380000,0
corvus-generated-aot,ui5-manifest,14200000,1270000,2860000,4880000,0
blaze-compile,unreal-engine-uproject,8400000,217520,3861450,2900000,
blaze-template,unreal-engine-uproject,8000000,217520,3861450,0,
corvus-runtime-jit,unreal-engine-uproject,146200000,160620,570060,82740000,0
corvus-runtime-r2r,unreal-engine-uproject,52900000,159290,647250,,0
corvus-runtime-aot,unreal-engine-uproject,4500000,190960,661130,320000,0
corvus-image-jit,unreal-engine-uproject,121500000,160620,570060,26710000,0
corvus-image-aot,unreal-engine-uproject,4000000,190960,661130,510000,0
corvus-generated-jit,unreal-engine-uproject,113300000,159420,565460,40830000,0
corvus-generated-aot,unreal-engine-uproject,4700000,219100,730750,530000,0
blaze-compile,vercel,12400000,114670,2760389,7800000,
blaze-template,vercel,10000000,114670,2760389,0,
corvus-runtime-jit,vercel,161400000,87700,358930,77630000,0
corvus-runtime-r2r,vercel,55200000,87570,411120,,0
corvus-runtime-aot,vercel,4600000,100090,423320,750000,0
corvus-image-jit,vercel,130000000,87700,358930,27490000,0
corvus-image-aot,vercel,4300000,100090,423320,680000,0
corvus-generated-jit,vercel,114700000,87020,360370,36810000,0
corvus-generated-aot,vercel,4800000,103740,407850,740000,0
blaze-compile,yamllint,6400000,6340,3811387,300000,
blaze-template,yamllint,6400000,6340,3811387,0,
corvus-runtime-jit,yamllint,134200000,11730,424090,58760000,0
corvus-runtime-r2r,yamllint,43900000,14980,434350,,0
corvus-runtime-aot,yamllint,3900000,13260,448540,110000,0
corvus-image-jit,yamllint,107600000,11730,424090,15730000,0
corvus-image-aot,yamllint,3800000,13260,448540,30000,0
corvus-generated-jit,yamllint,107300000,11700,380350,28210000,0
corvus-generated-aot,yamllint,4200000,15180,445960,60000,0
